"","ID","adj.P.Val","P.Value","t","B","logFC","Gene.symbol","Gene.title"
"474","A_23_P399921",0.0016,2e-05,-4.863045,2.7577134,-1.9469221,"SEC61A2","Sec61 translocon alpha 2 subunit"
"475","A_32_P38436",0.0016,2.01e-05,-4.861222,2.7523949,-2.1909482,"",""
"476","A_23_P99080",0.00163,2.05e-05,-4.854738,2.7334873,-3.634393,"TAS2R13","taste 2 receptor member 13"
"477","A_23_P157914",0.00165,2.07e-05,-4.851084,2.7228331,-1.653544,"MAMDC2","MAM domain containing 2"
"478","A_23_P216004",0.00165,2.08e-05,-4.850823,2.7220735,-1.5229855,"SLC25A37","solute carrier family 25 member 37"
"479","A_24_P354523",0.00165,2.09e-05,-4.849469,2.718125,-1.3453489,"AIMP1","aminoacyl tRNA synthetase complex interacting multifunctional protein 1"
"480","A_23_P5370",0.00165,2.09e-05,-4.849037,2.7168647,-1.978828,"RPRM","reprimo, TP53 dependent G2 arrest mediator candidate"
"481","A_23_P10911",0.00165,2.09e-05,-4.848345,2.7148476,-2.3003838,"PLBD2","phospholipase B domain containing 2"
"482","A_24_P368575",0.00167,2.13e-05,-4.843298,2.700137,-1.6924809,"SLC4A7","solute carrier family 4 member 7"
"483","A_24_P303420",0.00167,2.13e-05,-4.842887,2.6989389,-1.6166355,"ADCY10P1","adenylate cyclase 10, soluble pseudogene 1"
"484","A_24_P153926",0.00167,2.13e-05,4.842427,2.6975979,1.3528658,"SAYSD1","SAYSVFN motif domain containing 1"
"485","A_32_P11947",0.00167,2.14e-05,-4.841793,2.6957501,-2.7222041,"",""
"486","A_32_P90730",0.00167,2.14e-05,-4.840651,2.6924242,-2.319488,"",""
"487","A_32_P159651",0.00169,2.18e-05,-4.835098,2.6762432,-1.5119433,"KAT2B","lysine acetyltransferase 2B"
"488","A_23_P254594",0.00169,2.18e-05,-4.83493,2.6757543,-1.9941149,"GNRH1","gonadotropin releasing hormone 1"
"489","A_32_P110751",0.00169,2.18e-05,4.834683,2.6750331,2.029957,"EIF4A2","eukaryotic translation initiation factor 4A2"
"490","A_23_P58298",0.00169,2.19e-05,-4.834082,2.6732833,-1.9563367,"NAF1","nuclear assembly factor 1 ribonucleoprotein"
"491","A_23_P86493",0.00169,2.19e-05,4.833177,2.6706471,2.3778483,"LBX1","ladybird homeobox 1"
"492","A_32_P198523",0.0017,2.22e-05,-4.829292,2.6593296,-2.4360545,"FSIP2","fibrous sheath interacting protein 2"
"493","A_32_P224157",0.0017,2.22e-05,-4.829191,2.6590342,-2.1422627,"",""
"494","A_24_P178663",0.0017,2.22e-05,4.828975,2.6584053,1.9845127,"",""
"495","A_32_P146786",0.0017,2.23e-05,-4.828488,2.6569863,-1.8197281,"",""
"496","A_24_P116766",0.00172,2.25e-05,-4.825308,2.647725,-2.0422056,"ZNF207","zinc finger protein 207"
"497","A_24_P278234",0.00173,2.27e-05,-4.822156,2.6385451,-2.3229556,"",""
"498","A_24_P926666",0.00173,2.28e-05,-4.820414,2.6334732,-1.5525745,"",""
"499","A_23_P3038",0.00173,2.28e-05,-4.820148,2.6327009,-2.1058943,"GPX2","glutathione peroxidase 2"
"500","A_32_P79515",0.00173,2.28e-05,-4.820091,2.632533,-1.8788442,"",""
"501","A_24_P598836",0.00173,2.29e-05,4.819741,2.6315141,2.0523951,"",""
"502","A_24_P187874",0.00173,2.3e-05,-4.818474,2.6278266,-1.986215,"FLJ40712","FLJ40712 protein"
"503","A_23_P328621",0.00175,2.32e-05,-4.815767,2.6199442,-2.3664435,"UBQLNL","ubiquilin-like"
"504","A_32_P201041",0.00178,2.36e-05,-4.809442,2.6015344,-1.9261127,"GPR135","G protein-coupled receptor 135"
"505","A_32_P109572",0.00178,2.37e-05,4.808456,2.5986639,1.9399845,"HNRNPL","heterogeneous nuclear ribonucleoprotein L"
"506","A_23_P202837",0.00179,2.39e-05,4.80539,2.5897439,1.4868612,"CCND1","cyclin D1"
"507","A_24_P120827",0.0018,2.4e-05,-4.803722,2.5848895,-1.8817553,"HGSNAT","heparan-alpha-glucosaminide N-acetyltransferase"
"508","A_32_P184448",0.0018,2.42e-05,-4.8022,2.5804603,-1.6205932,"CCDC178","coiled-coil domain containing 178"
"509","A_24_P343869",0.0018,2.42e-05,4.802173,2.5803815,1.9093587,"PTGES3","prostaglandin E synthase 3"
"510","A_23_P252175",0.00181,2.43e-05,-4.800026,2.5741346,-2.1846002,"MYO1B","myosin IB"
"511","A_32_P59837",0.00182,2.45e-05,-4.797875,2.5678779,-1.9421127,"",""
"512","A_32_P150086",0.00182,2.46e-05,-4.79636,2.5634705,-1.9221198,"ANKRD20A5P","ankyrin repeat domain 20 family member A5, pseudogene"
"513","A_23_P211814",0.00182,2.46e-05,4.7963,2.5632966,1.3879124,"MAP4","microtubule associated protein 4"
"514","A_32_P233834",0.00182,2.47e-05,-4.794735,2.558744,-2.2225551,"",""
"515","A_32_P134090",0.00183,2.49e-05,-4.792887,2.5533692,-2.1961479,"",""
"516","A_24_P833191",0.00183,2.49e-05,-4.791974,2.5507142,-1.7115776,"",""
"517","A_32_P41035",0.00183,2.5e-05,-4.79116,2.5483473,-1.2266773,"LINC01061","long intergenic non-protein coding RNA 1061"
"518","A_24_P303874",0.00183,2.5e-05,4.790918,2.5476443,1.8083976,"C9orf62","chromosome 9 open reading frame 62"
"519","A_32_P233405",0.00183,2.51e-05,-4.79033,2.5459348,-1.9250133,"RUSC1-AS1","RUSC1 antisense RNA 1"
"520","A_23_P43455",0.00183,2.52e-05,-4.788887,2.5417396,-1.3923908,"PNPLA7","patatin like phospholipase domain containing 7"
"521","A_32_P157622",0.00183,2.52e-05,-4.788758,2.5413642,-1.8695562,"",""
"522","A_23_P343104",0.00184,2.53e-05,-4.7878,2.5385778,-2.070912,"FLJ30901","uncharacterized protein FLJ30901"
"523","A_24_P15563",0.00184,2.53e-05,-4.786975,2.5361782,-2.4193688,"GPATCH2L","G-patch domain containing 2 like"
"524","A_24_P930705",0.00185,2.56e-05,-4.78372,2.5267157,-3.4126524,"",""
"525","A_23_P155123",0.00186,2.57e-05,-4.782412,2.5229127,-2.8041357,"CYP2D6","cytochrome P450 family 2 subfamily D member 6"
"526","A_32_P160254",0.00186,2.58e-05,4.781549,2.5204047,2.4427386,"",""
"527","A_24_P93573",0.00186,2.58e-05,-4.78103,2.5188977,-2.6798517,"",""
"528","A_23_P126623",0.00186,2.58e-05,4.780591,2.5176215,1.5122033,"PGD","phosphogluconate dehydrogenase"
"529","A_23_P304450",0.00186,2.59e-05,-4.779586,2.5146981,-2.4120154,"GATA6","GATA binding protein 6"
"530","A_24_P917026",0.00186,2.6e-05,-4.77897,2.512908,-1.7177778,"NF1","neurofibromin 1"
"531","A_24_P195821",0.00186,2.6e-05,-4.778721,2.5121844,-2.2504499,"ARMCX4","armadillo repeat containing, X-linked 4"
"532","A_24_P299137",0.00188,2.64e-05,-4.774251,2.499195,-3.3911348,"FAM65C","family with sequence similarity 65 member C"
"533","A_24_P255524",0.00188,2.64e-05,-4.773489,2.4969794,-2.4223192,"CALD1","caldesmon 1"
"534","A_24_P307712",0.00188,2.65e-05,-4.773051,2.4957084,-2.0865117,"",""
"535","A_24_P280497",0.00188,2.65e-05,4.772789,2.4949462,2.6090704,"FBRSL1","fibrosin like 1"
"536","A_32_P71016",0.00188,2.66e-05,-4.771796,2.4920604,-1.8579971,"",""
"537","A_23_P66827",0.00188,2.67e-05,-4.769952,2.4867028,-2.6650523,"FAM106A","family with sequence similarity 106 member A"
"538","A_23_P5422",0.00188,2.67e-05,-4.76967,2.4858836,-1.5024052,"LOC100506124","uncharacterized LOC100506124"
"539","A_23_P88489",0.00188,2.67e-05,-4.769636,2.4857843,-1.7294691,"CATSPER2","cation channel sperm associated 2"
"540","A_24_P39195",0.00189,2.69e-05,-4.767864,2.4806367,-2.4004846,"OXGR1","oxoglutarate receptor 1"
"541","A_32_P150928",0.00189,2.7e-05,4.766951,2.4779838,2.621678,"HS2ST1","heparan sulfate 2-O-sulfotransferase 1"
"542","A_32_P230196",0.00191,2.73e-05,-4.762643,2.4654723,-1.9229296,"",""
"543","A_24_P481530",0.00193,2.78e-05,-4.757658,2.4509951,-2.2071456,"",""
"544","A_23_P46924",0.00193,2.78e-05,4.757526,2.450612,1.5298401,"BUB3","BUB3, mitotic checkpoint protein"
"545","A_24_P153416",0.00193,2.78e-05,-4.757272,2.4498747,-1.9217699,"KIR2DS1","killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 1"
"546","A_24_P166042",0.00193,2.79e-05,4.756395,2.4473269,1.5644683,"IMPDH2","inosine monophosphate dehydrogenase 2"
"547","A_23_P126803",0.00194,2.79e-05,4.755664,2.4452071,2.1455845,"ARPC5","actin related protein 2/3 complex subunit 5"
"548","A_23_P32426",0.00194,2.81e-05,-4.754123,2.4407313,-1.1959155,"RPF1","ribosome production factor 1 homolog"
"549","A_32_P305020",0.00194,2.81e-05,-4.753635,2.4393153,-2.6006441,"GNG4","G protein subunit gamma 4"
"550","A_23_P28246",0.00194,2.81e-05,-4.753349,2.4384841,-2.2674428,"SLC23A3","solute carrier family 23 member 3"
"551","A_24_P42681",0.00194,2.82e-05,4.752979,2.4374117,2.0615419,"PSMD2","proteasome 26S subunit, non-ATPase 2"
"552","A_23_P22190",0.00196,2.86e-05,-4.748054,2.4231137,-3.1746885,"ESRRB","estrogen related receptor beta"
"553","A_32_P43826",0.00196,2.87e-05,-4.746766,2.4193769,-2.1470443,"LOC441666","zinc finger protein 91 pseudogene"
"554","A_24_P758256",0.00196,2.87e-05,-4.746331,2.418115,-2.8996311,"",""
"555","A_24_P261567",0.00196,2.88e-05,-4.746136,2.4175485,-2.1517838,"GDPD5","glycerophosphodiester phosphodiesterase domain containing 5"
"556","A_32_P98136",0.00196,2.88e-05,-4.746117,2.4174944,-2.0042428,"KIAA1107","KIAA1107"
"557","A_24_P929322",0.00196,2.88e-05,-4.745875,2.4167911,-2.4060994,"FLJ42393","uncharacterized LOC401105"
"558","A_23_P62831",0.00197,2.9e-05,4.743926,2.4111356,1.5776996,"EVA1B","eva-1 homolog B"
"559","A_23_P14343",0.002,2.94e-05,-4.73855,2.3955365,-2.3663963,"AKAP6","A-kinase anchoring protein 6"
"560","A_24_P103803",0.002,2.96e-05,4.736943,2.3908744,2.4553053,"B4GALT1","beta-1,4-galactosyltransferase 1"
"561","A_23_P31407",0.00201,2.98e-05,4.734874,2.3848714,2.0342189,"AGR2","anterior gradient 2, protein disulphide isomerase family member"
"562","A_23_P387691",0.00201,2.98e-05,-4.734452,2.3836481,-2.2386326,"DIP2B","disco interacting protein 2 homolog B"
"563","A_23_P395194",0.00202,2.99e-05,-4.733229,2.3801015,-2.777159,"",""
"564","A_24_P218814",0.00203,3.01e-05,-4.731195,2.3742016,-2.4400017,"RDH5","retinol dehydrogenase 5"
"565","A_32_P1647",0.00203,3.02e-05,-4.730297,2.3715986,-1.8240504,"",""
"566","A_32_P151269",0.00203,3.04e-05,-4.728638,2.3667871,-1.9253265,"",""
"567","A_32_P142334",0.00204,3.05e-05,-4.727206,2.3626351,-1.7387127,"",""
"568","A_23_P63209",0.00204,3.05e-05,-4.72707,2.3622399,-2.2491862,"HSD11B1","hydroxysteroid 11-beta dehydrogenase 1"
"569","A_24_P463973",0.00204,3.06e-05,-4.72586,2.3587331,-3.0695844,"",""
"570","A_32_P66616",0.00205,3.1e-05,-4.721935,2.3473536,-2.4075287,"",""
"571","A_24_P450560",0.00205,3.1e-05,-4.721838,2.347071,-2.4057787,"",""
"572","A_24_P932680",0.00205,3.1e-05,-4.721812,2.3469953,-1.6009035,"LOC100289230","uncharacterized LOC100289230"
"573","A_24_P221745",0.00205,3.1e-05,-4.721642,2.3465035,-2.2424746,"LOC440934","uncharacterized LOC440934"
"574","A_32_P152195",0.00205,3.11e-05,-4.721349,2.3456531,-2.1086138,"STAC2","SH3 and cysteine rich domain 2"
"575","A_24_P290623",0.00206,3.12e-05,-4.719615,2.3406274,-2.1840315,"ZSWIM8","zinc finger SWIM-type containing 8"
"576","A_32_P87631",0.00207,3.14e-05,-4.717365,2.3341071,-1.7990928,"",""
"577","A_24_P931755",0.00207,3.15e-05,-4.7169,2.3327581,-1.7555869,"ZNF675","zinc finger protein 675"
"578","A_32_P94976",0.00207,3.17e-05,-4.715222,2.327896,-1.8977902,"",""
"579","A_32_P1036",0.00207,3.17e-05,-4.715054,2.3274093,-2.9975318,"",""
"580","A_32_P146309",0.00209,3.2e-05,-4.711522,2.3171755,-2.4211863,"CACNB2","calcium voltage-gated channel auxiliary subunit beta 2"
"581","A_24_P867201",0.00209,3.21e-05,-4.711174,2.3161675,-1.8497798,"LIN7A","lin-7 homolog A, crumbs cell polarity complex component"
"582","A_23_P79927",0.0021,3.22e-05,4.7101,2.3130541,2.0695823,"NOP56","NOP56 ribonucleoprotein"
"583","A_24_P108784",0.00212,3.27e-05,-4.705267,2.2990548,-3.4434528,"SOX10","SRY-box 10"
"584","A_23_P26511",0.00212,3.27e-05,-4.704812,2.2977359,-2.0395451,"GDPD3","glycerophosphodiester phosphodiesterase domain containing 3"
"585","A_24_P942335",0.00213,3.28e-05,-4.703439,2.2937597,-2.5329853,"TICRR","TOPBP1 interacting checkpoint and replication regulator"
"586","A_32_P158083",0.00213,3.29e-05,-4.702655,2.2914888,-3.4186101,"LHFPL3","lipoma HMGIC fusion partner-like 3"
"587","A_23_P218237",0.00213,3.3e-05,-4.702296,2.2904506,-2.0112557,"LCAT","lecithin-cholesterol acyltransferase"
"588","A_24_P739785",0.00213,3.31e-05,-4.700822,2.2861814,-2.1650374,"",""
"589","A_23_P156928",0.00213,3.31e-05,-4.700474,2.2851734,-3.2877605,"GPLD1","glycosylphosphatidylinositol specific phospholipase D1"
"590","A_23_P320530",0.00214,3.33e-05,-4.699027,2.280984,-1.5708716,"ZNF780A","zinc finger protein 780A"
"591","A_32_P78385",0.00214,3.34e-05,-4.697893,2.2776982,-2.2741622,"DPY19L2P2","DPY19L2 pseudogene 2"
"592","A_23_P121564",0.00215,3.36e-05,-4.695878,2.2718645,-1.2562456,"GUCY1B3","guanylate cyclase 1 soluble subunit beta"
"593","A_23_P91468",0.00215,3.37e-05,4.695256,2.2700645,2.0589473,"PSMA7","proteasome subunit alpha 7"
"594","A_24_P247774",0.00215,3.37e-05,-4.694625,2.2682388,-1.9422171,"",""
"595","A_24_P917015",0.00217,3.41e-05,-4.691344,2.2587395,-1.9372832,"DYNC2H1","dynein cytoplasmic 2 heavy chain 1"
"596","A_23_P217704",0.00218,3.43e-05,-4.689685,2.2539386,-2.9166475,"GYG2","glycogenin 2"
"597","A_32_P85711",0.00218,3.43e-05,4.68944,2.2532286,1.6921223,"",""
"598","A_23_P374664",0.00218,3.43e-05,-4.689043,2.2520799,-3.1828391,"",""
"599","A_32_P134109",0.00218,3.45e-05,-4.687939,2.2488862,-1.9616771,"",""
"600","A_23_P141699",0.00219,3.47e-05,4.68582,2.2427524,2.2299584,"PARD6G","par-6 family cell polarity regulator gamma"
"601","A_24_P337380",0.00219,3.47e-05,4.68528,2.2411913,1.7979649,"HNRNPH1","heterogeneous nuclear ribonucleoprotein H1 (H)"
"602","A_23_P116195",0.00219,3.48e-05,-4.684981,2.240325,-2.5124646,"",""
"603","A_23_P131089",0.00219,3.48e-05,-4.684842,2.2399227,-1.2794425,"KANK3","KN motif and ankyrin repeat domains 3"
"604","A_23_P392024",0.0022,3.51e-05,-4.68231,2.2325971,-2.3764006,"ARHGEF10","Rho guanine nucleotide exchange factor 10"
"605","A_32_P78528",0.0022,3.51e-05,4.682119,2.2320445,1.5964445,"TUBB","tubulin beta class I"
"606","A_32_P2605",0.0022,3.52e-05,-4.68128,2.2296168,-2.0495625,"",""
"607","A_24_P282377",0.0022,3.52e-05,-4.680879,2.2284569,-1.8282448,"LOC202025","uncharacterized LOC202025"
"608","A_32_P232682",0.0022,3.53e-05,-4.679858,2.2255033,-1.997897,"",""
"609","A_24_P652537",0.0022,3.53e-05,-4.679684,2.2249998,-2.0540622,"SRD5A3-AS1","SRD5A3 antisense RNA 1"
"610","A_23_P343977",0.00221,3.57e-05,-4.676665,2.2162664,-2.473983,"RUSC1-AS1","RUSC1 antisense RNA 1"
"611","A_24_P488510",0.00221,3.57e-05,-4.676548,2.2159288,-1.8854828,"",""
"612","A_32_P159787",0.00222,3.58e-05,-4.675916,2.2140999,-2.0594442,"",""
"613","A_24_P231104",0.00223,3.6e-05,-4.673647,2.2075378,-1.8111108,"LEPR","leptin receptor"
"614","A_24_P51909",0.00223,3.62e-05,-4.672376,2.2038616,-2.0701118,"CPLX1","complexin 1"
"615","A_23_P50269",0.00224,3.64e-05,-4.67034,2.1979737,-2.1155431,"CXCL17","C-X-C motif chemokine ligand 17"
"616","A_24_P391591",0.00224,3.64e-05,-4.670129,2.1973631,-1.3397007,"LINC00342","long intergenic non-protein coding RNA 342"
"617","A_23_P322593",0.00224,3.66e-05,-4.668634,2.1930414,-2.1042174,"TAPT1-AS1","TAPT1 antisense RNA 1 (head to head)"
"618","A_24_P236949",0.00224,3.66e-05,-4.668535,2.1927547,-1.872154,"C19orf66","chromosome 19 open reading frame 66"
"619","A_23_P129209",0.00224,3.67e-05,4.667422,2.1895372,1.745452,"IDH2","isocitrate dehydrogenase (NADP(+)) 2, mitochondrial"
"620","A_32_P334340",0.00224,3.67e-05,-4.667409,2.1895005,-2.1738057,"AFDN-AS1","AFDN antisense RNA 1 (head to head)"
"621","A_23_P86532",0.00224,3.68e-05,-4.666692,2.1874268,-2.5229758,"BICC1","BicC family RNA binding protein 1"
"622","A_24_P476086",0.00224,3.68e-05,-4.666614,2.1872013,-1.7075479,"",""
"623","A_32_P100475",0.00224,3.69e-05,-4.665884,2.1850903,-1.8963484,"",""
"624","A_24_P923765",0.00224,3.69e-05,4.665598,2.1842655,1.8902014,"MEX3D","mex-3 RNA binding family member D"
"625","A_23_P28057",0.00225,3.72e-05,4.663314,2.1776635,1.6945377,"THOP1","thimet oligopeptidase 1"
"626","A_23_P501722",0.00225,3.73e-05,-4.662591,2.1755731,-4.0639555,"TSPAN32","tetraspanin 32"
"627","A_24_P603890",0.00225,3.73e-05,4.66245,2.1751652,1.7052181,"",""
"628","A_23_P131899",0.00225,3.73e-05,-4.661968,2.1737716,-1.3868046,"SDCBP2","syndecan binding protein 2"
"629","A_24_P630490",0.00225,3.73e-05,-4.661925,2.1736478,-1.306643,"DFNB59","deafness, autosomal recessive 59"
"630","A_23_P397019",0.00225,3.74e-05,-4.661503,2.1724283,-1.7797322,"DNAJC25","DnaJ heat shock protein family (Hsp40) member C25"
"631","A_24_P654792",0.00225,3.76e-05,-4.659996,2.1680731,-2.1651676,"",""
"632","A_24_P922838",0.00225,3.76e-05,-4.659775,2.1674353,-1.973146,"",""
"633","A_23_P253434",0.00225,3.76e-05,4.659415,2.1663926,1.2293643,"FNDC3B","fibronectin type III domain containing 3B"
"634","A_24_P340286",0.00226,3.77e-05,4.658485,2.1637057,1.3718039,"CHADL","chondroadherin like"
"635","A_32_P171328",0.00226,3.79e-05,4.657428,2.160651,1.8668334,"UBE2S","ubiquitin conjugating enzyme E2 S"
"636","A_23_P27229",0.00226,3.79e-05,-4.656801,2.1588412,-2.1870299,"MYO15A","myosin XVA"
"637","A_24_P307075",0.00226,3.8e-05,4.65649,2.1579398,1.7495075,"",""
"638","A_32_P97471",0.00229,3.85e-05,-4.651799,2.1443886,-2.0906287,"",""
"639","A_23_P45424",0.00229,3.87e-05,-4.650559,2.1408068,-2.4374903,"ITGB1BP2","integrin subunit beta 1 binding protein 2"
"640","A_23_P13137",0.00229,3.87e-05,-4.650168,2.1396764,-2.2932043,"",""
"641","A_24_P475864",0.0023,3.89e-05,-4.648416,2.1346176,-2.1807763,"RRN3P2","RRN3 homolog, RNA polymerase I transcription factor pseudogene 2"
"642","A_32_P201976",0.00231,3.91e-05,-4.647011,2.1305595,-1.8322942,"",""
"643","A_32_P196520",0.00231,3.91e-05,-4.646812,2.1299827,-1.2390876,"LSM11","LSM11, U7 small nuclear RNA associated"
"644","A_32_P92500",0.00232,3.94e-05,-4.644741,2.1240039,-2.4041743,"",""
"645","A_23_P121405",0.00232,3.94e-05,4.644515,2.1233496,1.4331208,"RBM15B","RNA binding motif protein 15B"
"646","A_32_P179746",0.00233,3.96e-05,-4.642764,2.1182956,-1.4499907,"",""
"647","A_23_P384355",0.00233,3.98e-05,-4.641624,2.1150016,-1.3875835,"",""
"648","A_23_P413991",0.00235,4.01e-05,-4.639015,2.1074691,-1.9405582,"",""
"649","A_23_P99942",0.00235,4.03e-05,-4.63766,2.1035601,-1.9128925,"LRRK1","leucine rich repeat kinase 1"
"650","A_24_P390928",0.00235,4.03e-05,4.637196,2.1022206,1.7349431,"TRAPPC6A","trafficking protein particle complex 6A"
"651","A_32_P221507",0.00236,4.05e-05,-4.635401,2.0970379,-3.9789396,"LOC100286922","DnaJ heat shock protein family (Hsp40) member B3 pseudogene"
"652","A_24_P113725",0.00237,4.07e-05,4.633948,2.0928459,1.9734931,"SOX3","SRY-box 3"
"653","A_32_P52119",0.00237,4.09e-05,-4.632788,2.0894961,-1.5513782,"LOC101928673","uncharacterized LOC101928673"
"654","A_24_P42122",0.00237,4.09e-05,4.63268,2.0891839,2.0002425,"HNRNPL","heterogeneous nuclear ribonucleoprotein L"
"655","A_24_P944677",0.00239,4.12e-05,-4.629883,2.0811134,-1.9130955,"",""
"656","A_23_P104199",0.00239,4.14e-05,4.628995,2.0785529,1.8949303,"ITGB1","integrin subunit beta 1"
"657","A_32_P73580",0.00239,4.14e-05,-4.628532,2.0772153,-1.6806413,"",""
"658","A_24_P724886",0.0024,4.16e-05,-4.626935,2.0726071,-1.8152161,"",""
"659","A_23_P81912",0.0024,4.17e-05,4.626422,2.0711277,1.9612056,"TUBB","tubulin beta class I"
"660","A_23_P208835",0.0024,4.18e-05,4.625706,2.069064,1.2296311,"MAP2K2","mitogen-activated protein kinase kinase 2"
"661","A_24_P147242",0.0024,4.19e-05,-4.624971,2.0669427,-3.5779972,"RBFOX1","RNA binding protein, fox-1 homolog 1"
"662","A_32_P94160",0.00241,4.2e-05,-4.623805,2.063579,-2.1995801,"PRKAA2","protein kinase AMP-activated catalytic subunit alpha 2"
"663","A_32_P128857",0.00243,4.26e-05,-4.619715,2.0517809,-1.7040355,"LOC286272","uncharacterized LOC286272"
"664","A_23_P36445",0.00243,4.26e-05,4.619699,2.0517356,1.6019891,"TMED2","transmembrane p24 trafficking protein 2"
"665","A_32_P132317",0.00243,4.27e-05,-4.6188,2.0491441,-1.9521808,"GPR155","G protein-coupled receptor 155"
"666","A_32_P176819",0.00244,4.28e-05,-4.617514,2.0454347,-2.2534199,"CMAHP","cytidine monophospho-N-acetylneuraminic acid hydroxylase, pseudogene"
"667","A_32_P219704",0.00244,4.29e-05,-4.617278,2.0447559,-2.2465068,"",""
"668","A_32_P103633",0.00244,4.29e-05,4.616848,2.0435139,1.5586175,"MCM2","minichromosome maintenance complex component 2"
"669","A_24_P71341",0.00244,4.32e-05,-4.615119,2.038529,-1.65656,"FMO5","flavin containing monooxygenase 5"
"670","A_23_P51317",0.00244,4.32e-05,-4.614779,2.0375504,-1.1651564,"TRMT13","tRNA methyltransferase 13 homolog"
"671","A_32_P4337",0.00244,4.32e-05,-4.614498,2.0367391,-2.1391255,"",""
"672","A_24_P221092",0.00249,4.42e-05,-4.607619,2.0169088,-2.3292846,"",""
"673","A_24_P937435",0.0025,4.44e-05,-4.60618,2.0127627,-2.5594734,"ELMOD3","ELMO domain containing 3"
"674","A_32_P202977",0.00251,4.46e-05,-4.604362,2.0075245,-1.7660713,"",""
"675","A_23_P71699",0.00253,4.51e-05,-4.600806,1.9972789,-1.6024252,"RORB","RAR related orphan receptor B"
"676","A_23_P89841",0.00254,4.52e-05,-4.600034,1.9950536,-1.6782114,"",""
"677","A_24_P579826",0.00254,4.53e-05,-4.599425,1.9932982,-2.0353183,"ARL17B///ARL17A","ADP ribosylation factor like GTPase 17B///ADP ribosylation factor like GTPase 17A"
"678","A_23_P335388",0.00255,4.56e-05,-4.59741,1.9874939,-4.1645249,"C17orf78","chromosome 17 open reading frame 78"
"679","A_24_P336276",0.00255,4.56e-05,-4.597357,1.9873435,-1.4862912,"SLCO3A1","solute carrier organic anion transporter family member 3A1"
"680","A_23_P10232",0.00255,4.57e-05,-4.596819,1.9857934,-1.9632411,"BANK1","B-cell scaffold protein with ankyrin repeats 1"
"681","A_32_P38313",0.00255,4.59e-05,-4.595386,1.981664,-3.5918967,"KDM4C","lysine demethylase 4C"
"682","A_23_P312536",0.00255,4.59e-05,-4.595309,1.9814451,-1.9198006,"ARSK","arylsulfatase family member K"
"683","A_24_P101201",0.00255,4.61e-05,4.594048,1.977812,1.9183886,"PDIA3","protein disulfide isomerase family A member 3"
"684","A_23_P17192",0.00255,4.61e-05,-4.593887,1.977348,-1.7334654,"RAPGEF4","Rap guanine nucleotide exchange factor 4"
"685","A_32_P98752",0.00255,4.61e-05,-4.593874,1.9773108,-2.3425345,"",""
"686","A_32_P96154",0.00255,4.62e-05,-4.59335,1.9758005,-2.0537884,"",""
"687","A_24_P935310",0.00255,4.64e-05,-4.591935,1.9717285,-1.8101475,"LOC401320","uncharacterized LOC401320"
"688","A_23_P83351",0.00255,4.64e-05,-4.591727,1.9711281,-2.1767516,"WHRN","whirlin"
"689","A_32_P220700",0.00255,4.64e-05,-4.591521,1.9705355,-2.14623,"",""
"690","A_23_P16078",0.00255,4.64e-05,4.591499,1.9704704,1.0405553,"PAFAH1B3","platelet activating factor acetylhydrolase 1b catalytic subunit 3"
"691","A_24_P807883",0.00256,4.66e-05,-4.589986,1.9661156,-2.3202997,"PAPOLG","poly(A) polymerase gamma"
"692","A_23_P123133",0.00256,4.67e-05,-4.589552,1.9648667,-2.0290613,"OGDH","oxoglutarate dehydrogenase"
"693","A_24_P227230",0.00257,4.71e-05,4.587143,1.9579303,1.2596591,"CADM1","cell adhesion molecule 1"
"694","A_23_P81721",0.00257,4.71e-05,-4.586836,1.9570462,-1.7535387,"SLC25A27","solute carrier family 25 member 27"
"695","A_23_P86390",0.00257,4.71e-05,4.586563,1.9562593,1.7989441,"NRP1","neuropilin 1"
"696","A_23_P138394",0.00257,4.72e-05,-4.586134,1.9550259,-1.853342,"",""
"697","A_24_P12690",0.00257,4.73e-05,-4.585554,1.9533547,-2.6319431,"IDO2","indoleamine 2,3-dioxygenase 2"
"698","A_32_P28712",0.00257,4.73e-05,-4.585434,1.9530102,-2.1907008,"",""
"699","A_23_P157569",0.00257,4.74e-05,-4.584952,1.9516235,-1.7985391,"ADHFE1","alcohol dehydrogenase, iron containing 1"
"700","A_24_P102249",0.00258,4.77e-05,-4.582644,1.9449813,-4.2037061,"",""
"701","A_23_P116187",0.0026,4.81e-05,-4.580295,1.9382208,-2.1121834,"BCO2","beta-carotene oxygenase 2"
"702","A_24_P468950",0.0026,4.83e-05,-4.578752,1.9337796,-2.6359394,"",""
"703","A_23_P74993",0.0026,4.83e-05,-4.578726,1.9337041,-1.3929549,"LINC01138","long intergenic non-protein coding RNA 1138"
"704","A_23_P137705",0.0026,4.83e-05,-4.578618,1.9333946,-1.6082636,"TBX19","T-box 19"
"705","A_24_P359942",0.0026,4.84e-05,-4.577751,1.9308998,-2.0725265,"RBMS3","RNA binding motif single stranded interacting protein 3"
"706","A_32_P187143",0.0026,4.85e-05,-4.577576,1.9303959,-2.0505,"",""
"707","A_32_P88987",0.00261,4.86e-05,-4.576446,1.9271451,-2.0855482,"",""
"708","A_32_P15017",0.00261,4.87e-05,-4.575719,1.9250521,-1.6034133,"RICTOR","RPTOR independent companion of MTOR complex 2"
